CollDate,depth_m,temp_C,pH,cond_ugL,DO_mgL,DO_percent,ORP,WaterbodyName,Longitude,Latitude
5/27/2020,0,14.02,8.58,604.9,8.89,102.5,198.1, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,0.5,13.93,8.58,606.5,8.92,102.6,201.4, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,1,13.84,8.56,606.6,8.93,102.5,205.3, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,1.5,13.81,8.49,607.1,8.9,102.1,211.3, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,2,13.73,8.3,607.9,8.9,102,224.7, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,2.5,13.73,8.2,607.9,8.87,101.6,231.7, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,3,13.69,8.05,608.4,8.84,101.2,241.5, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,4,13.52,7.93,603.2,8.69,99,246.1, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,5,13.33,7.98,609.4,8.61,97.6,243.6, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,6,13,8.09,609.1,8.49,95.6,235.4, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,7,12.69,8.27,608.3,8.41,94.1,228.1, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,8,12.61,8.37,608.9,8.39,93.7,223.1, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,9,12.45,8.45,613.5,8.28,92.1,220, Cottonwood Creek Bay,-108.2127722,43.346903
5/27/2020,10,12.25,8.43,614.1,7.67,84.8,219.3, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,0,21.73,8.68,549.4,8.74,118.2,215.4, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,0.5,21.73,8.68,549.3,8.73,118.2,215.4, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,1,20.42,8.71,540.9,9.44,124.8,216, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,1.5,19.32,8.71,531.3,9.82,126.7,217.1, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,2,18.99,8.69,529.1,9.65,123.6,218.6, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,2.5,18.81,8.68,529.8,9.5,121.3,219.9, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,3,18.67,8.65,530.2,9.37,119.4,222, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,4,18.37,8.52,526.7,8.98,113.4,227.4, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,5,18.04,8.29,528.5,8.54,107,240.4, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,6,17.82,8.17,528.5,8.23,102.9,245.3, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,7,17.5,8.14,520.5,7.99,99.3,245.2, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,8,17.14,8.19,514.9,7.45,91.8,236.5, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,9,17.07,8.43,518.5,7.41,91.3,227.1, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,10,16.95,8.46,521.4,7.24,88.9,225.5, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,11,16.94,8.48,525,7.14,87.7,224, Cottonwood Creek Bay,-108.2127722,43.346903
6/24/2020,12,16.65,8.45,532.2,6.61,81.2,202.1, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,0,20.25,8.65,674.7,8.3,108.76,95.3, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,0.5,20.27,8.64,677.96,8.3,108.7,95.6, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,1,20.26,8.64,679.8,8.29,108.6,96, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,1.5,20.23,8.64,680.92,8.28,108.5,96.5, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,2,20.21,8.63,681.8,8.29,108.4,100.7, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,2.5,20.21,8.63,681.25,8.27,108.28,98.1, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,3,20.21,8.62,682.6,8.25,108.02,99.6, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,4,20.19,8.56,683.8,8.24,107.8,103.6, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,5,20.19,8.5,685.34,8.24,107.9,113.5, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,6,20.18,8.24,686.37,8.25,108.05,127.5, Cottonwood Creek Bay,-108.2127722,43.346903
7/15/2020,7,20.18,8.22,687.49,8.27,108.3,122.9, Cottonwood Creek Bay,-108.2127722,43.346903
